Company;Date;Open;High;Low;Close;Volume;Ex-Dividend;Split Ratio;Adj. Open;Adj. High;Adj. Low;Adj. Close;Adj. Volume
T Mobile;25/11/15;38.1;38.43;36.91;36.97;5883816.0;0.0;1.0;38.1;38.43;36.91;36.97;5883816.0
T Mobile;24/11/15;38.01;38.69;37.77;38.39;10153419.0;0.0;1.0;38.01;38.69;37.77;38.39;10153419.0
T Mobile;23/11/15;38.47;38.5;37.915;38.03;6175564.0;0.0;1.0;38.47;38.5;37.915;38.03;6175564.0
T Mobile;20/11/15;37.99;38.6;37.7;38.44;3397209.0;0.0;1.0;37.99;38.6;37.7;38.44;3397209.0
T Mobile;19/11/15;37.47;37.92;37.25;37.73;3223685.0;0.0;1.0;37.47;37.92;37.25;37.73;3223685.0
T Mobile;18/11/15;37.61;377.799;36.461;37.32;5950975.0;0.0;1.0;37.61;377.799;36.461;37.32;5950975.0
T Mobile;17/11/15;37.94;38.45;37.8;38.15;2786273.0;0.0;1.0;37.94;38.45;37.8;38.15;2786273.0
T Mobile;16/11/15;38.23;38.25;37.37;37.87;3986656.0;0.0;1.0;38.23;38.25;37.37;37.87;3986656.0
T Mobile;13/11/15;37.6;39.06;37.6;38.72;5966327.0;0.0;1.0;37.6;39.06;37.6;38.72;5966327.0
T Mobile;12/11/15;37.36;38.2;36.96;37.97;4425070.0;0.0;1.0;37.36;38.2;36.96;37.97;4425070.0
T Mobile;11/11/15;37.39;37.78;37.29;37.4;4900782.0;0.0;1.0;37.39;37.78;37.29;37.4;4900782.0
T Mobile;10/11/15;38.16;38.24;36.75;37.03;7539713.0;0.0;1.0;38.16;38.24;36.75;37.03;7539713.0
T Mobile;9/11/15;39.62;39.62;38.08;38.56;4809557.0;0.0;1.0;39.62;39.62;38.08;38.56;4809557.0
T Mobile;6/11/15;39.02;39.34;38.58;39.11;3332883.0;0.0;1.0;39.02;39.34;38.58;39.11;3332883.0
T Mobile;5/11/15;38.96;41.19;38.29;39.44;6708914.0;0.0;1.0;38.96;41.19;38.29;39.44;6708914.0
T Mobile;4/11/15;38.78;39.155;38.0;38.86;4426417.0;0.0;1.0;38.78;39.155;38.0;38.86;4426417.0
T Mobile;3/11/15;38.29;38.72;38.0;38.66;4013189.0;0.0;1.0;38.29;38.72;38.0;38.66;4013189.0
T Mobile;2/11/15;37.66;38.56;37.53;38.29;5546484.0;0.0;1.0;37.66;38.56;37.53;38.29;5546484.0
T Mobile;30/10/15;37.38;37.99;36.94;37.89;6103412.0;0.0;1.0;37.38;37.99;36.94;37.89;6103412.0
T Mobile;29/10/15;39.0;39.59;36.54;37.48;8445583.0;0.0;1.0;39.0;39.59;36.54;37.48;8445583.0
T Mobile;28/10/15;39.78;40.05;38.735;39.31;7325280.0;0.0;1.0;39.78;40.05;38.735;39.31;7325280.0
T Mobile;27/10/15;41.11;41.73;38.06;39.02;11910765.0;0.0;1.0;41.11;41.73;38.06;39.02;11910765.0
T Mobile;26/10/15;41.25;41.7;40.93;41.38;6084334.0;0.0;1.0;41.25;41.7;40.93;41.38;6084334.0
